时间 - 曲线 0	幅值 - 曲线 0
0	25.974
1	25.974
2	25.7143
3	26.2338
4	25.974
5	25.974
6	25.7143
7	25.974
8	25.7143
9	25.7143
10	25.7143
11	25.7143
12	25.974
13	25.7143
14	25.4545
15	25.7143
16	25.4545
17	25.7143
18	25.4545
19	25.7143
20	25.4545
21	25.4545
22	25.4545
23	25.4545
24	24.9351
25	24.6753
26	25.1948
27	25.4545
28	25.4545
29	25.1948
30	25.1948
31	25.1948
32	25.1948
33	25.1948
34	25.1948
35	25.1948
36	25.1948
37	25.1948
38	25.4545
39	25.1948
40	24.9351
41	25.1948
42	25.1948
43	25.4545
44	25.4545
45	25.4545
46	25.1948
47	25.1948
48	25.1948
49	24.9351
50	25.1948
51	25.4545
52	25.4545
53	25.1948
54	25.1948
55	25.1948
56	25.4545
57	25.4545
58	25.1948
59	24.9351
60	25.1948
61	25.1948
62	26.4935
63	30.6494
64	30.1299
65	29.3506
66	29.0909
67	28.8312
68	28.8312
69	28.5714
70	28.5714
71	28.5714
72	28.3117
73	28.3117
74	28.0519
75	28.0519
76	28.0519
77	27.7922
78	27.7922
79	27.5325
80	27.5325
81	27.2727
82	27.013
83	27.2727
84	27.2727
85	27.013
86	27.2727
87	27.013
88	27.2727
89	27.2727
90	27.2727
91	27.013
92	27.2727
93	27.013
94	27.013
95	27.013
96	26.7532
97	26.7532
