时间 - 曲线 0	幅值 - 曲线 0
0	32.987
1	32.987
2	33.2468
3	33.5065
4	33.2468
5	33.2468
6	32.987
7	32.7273
8	33.2468
9	33.2468
10	32.987
11	32.7273
12	32.987
13	33.2468
14	33.5065
15	33.2468
16	32.987
17	32.7273
18	32.7273
19	33.2468
20	33.5065
21	33.5065
22	33.2468
23	32.987
24	32.7273
25	32.987
26	33.2468
27	33.2468
28	32.987
29	32.7273
30	32.7273
31	33.2468
32	33.2468
33	33.5065
34	32.987
35	32.7273
36	33.2468
37	33.2468
38	32.987
39	32.987
40	32.987
41	32.987
42	32.987
43	33.2468
44	33.2468
45	33.2468
46	32.987
47	32.7273
48	32.987
49	32.987
50	33.2468
51	33.2468
52	32.987
53	32.7273
54	32.7273
55	33.2468
56	33.5065
57	33.5065
58	33.2468
59	32.7273
60	32.4675
61	32.7273
62	33.2468
63	33.5065
64	33.2468
65	33.2468
66	32.987
67	32.7273
68	32.7273
69	33.2468
70	33.5065
71	33.2468
72	33.2468
73	32.987
74	32.7273
75	32.987
76	33.2468
77	33.2468
78	32.987
79	32.987
80	32.987
81	32.7273
82	33.2468
83	32.987
84	33.2468
85	33.2468
86	32.987
87	32.7273
88	32.987
89	32.987
90	33.2468
91	33.2468
92	32.987
93	32.987
94	32.7273
95	32.987
96	33.2468
97	33.2468
98	32.987
99	32.7273
100	32.987
101	33.2468
102	32.987
103	32.987
104	32.987
105	33.2468
106	33.2468
107	32.987
108	32.987
109	32.987
110	32.987
111	32.7273
112	32.987
113	33.2468
114	32.987
115	32.987
116	32.987
117	33.2468
118	33.2468
119	32.987
120	32.987
121	32.7273
122	32.987
123	33.2468
124	33.2468
125	32.987
126	32.987
127	32.987
128	32.987
129	32.987
130	32.987
131	33.2468
132	33.2468
133	32.987
134	32.7273
135	32.987
136	32.987
137	33.2468
138	33.2468
139	33.2468
140	32.7273
141	32.4675
142	32.987
143	33.2468
144	33.2468
145	33.2468
146	32.7273
147	32.7273
148	32.987
149	33.2468
150	33.2468
151	33.2468
152	32.7273
153	32.987
154	32.987
155	33.2468
156	33.2468
157	33.2468
158	32.987
159	32.7273
160	32.4675
161	32.987
162	33.2468
163	33.2468
164	33.2468
