时间 - 曲线 0	幅值 - 曲线 0
0	33.2468
1	33.2468
2	32.987
3	32.987
4	33.2468
5	33.5065
6	33.5065
7	33.5065
8	32.987
9	32.987
10	32.987
11	32.987
12	33.2468
13	33.7662
14	33.7662
15	33.5065
16	32.987
17	33.2468
18	33.5065
19	33.2468
20	33.2468
21	33.2468
22	33.2468
23	33.2468
24	32.987
25	33.5065
26	33.2468
27	32.987
28	33.2468
29	33.5065
30	33.2468
31	33.2468
32	33.2468
33	32.987
34	32.987
35	33.5065
36	33.2468
37	33.2468
38	32.987
39	32.987
40	33.2468
41	33.2468
42	33.2468
43	33.2468
44	32.987
45	32.987
46	32.987
47	33.2468
48	32.987
49	32.987
50	32.987
51	33.2468
52	32.987
53	32.987
54	32.7273
55	32.987
56	33.2468
57	33.5065
58	33.2468
59	33.2468
60	33.2468
61	32.7273
62	32.987
63	33.2468
64	33.5065
65	33.2468
66	33.2468
67	32.987
68	32.987
69	33.5065
70	33.2468
71	33.2468
72	32.987
73	32.987
74	33.2468
75	33.2468
76	33.2468
77	33.2468
78	32.987
79	32.987
80	32.987
81	33.2468
82	33.2468
83	33.2468
84	32.987
85	32.7273
86	32.987
87	33.5065
88	32.987
89	33.2468
90	32.987
91	33.2468
92	33.5065
93	33.5065
94	33.2468
95	32.987
96	32.987
97	32.987
98	33.5065
99	33.5065
100	33.5065
101	33.5065
102	32.987
103	32.7273
104	33.2468
105	33.2468
106	32.987
107	33.2468
108	33.2468
109	32.987
110	32.987
111	32.987
112	33.2468
113	32.987
114	33.2468
115	33.2468
116	32.987
117	32.7273
118	32.7273
119	33.2468
120	33.5065
121	33.5065
122	33.2468
123	32.987
124	33.2468
125	33.2468
126	32.987
127	33.2468
128	33.2468
129	33.2468
130	32.987
131	32.987
132	32.987
133	33.2468
134	32.987
135	32.987
136	32.7273
137	33.2468
138	33.2468
139	33.2468
140	32.987
141	32.987
142	32.987
143	33.2468
144	33.5065
145	32.987
146	33.2468
147	33.2468
148	33.2468
149	33.2468
150	32.987
151	32.987
152	33.2468
153	33.2468
154	32.987
155	32.987
156	32.987
157	33.2468
158	33.2468
159	32.987
160	33.2468
161	32.987
162	32.7273
163	32.987
164	33.2468
165	33.2468
166	33.2468
167	32.987
168	32.987
169	32.987
170	33.2468
171	33.2468
172	33.2468
173	32.987
174	32.987
175	32.987
176	32.987
177	33.2468
178	33.2468
179	33.2468
180	32.987
181	32.987
182	32.987
183	33.2468
184	33.5065
185	32.987
186	33.2468
187	33.2468
188	33.5065
189	32.987
190	33.2468
191	33.2468
192	32.987
193	33.5065
194	33.2468
195	33.2468
196	32.987
197	33.2468
198	33.2468
199	33.2468
200	33.2468
201	32.987
202	32.987
203	32.7273
204	33.2468
205	33.2468
206	32.987
207	32.987
208	32.987
209	33.2468
210	32.987
211	32.987
212	33.2468
213	33.2468
